,Country Name,Depression Rate,GBL Consumption,Dairy Consumption,Fruits Consumption,Meat Consumption,Vegetables Consumption,Confections Consumption,Caffeine Consumption,Alcohol Consumption,total,GBL_percentage,Dairy_percentage,Fruits_percentage,Meat_percentage,Vegetables_percentage,Confections_percentage,Caffeine_percentage,Alcohol_percentage,average,Country Code,average_GDP_capita
0,Antigua and Barbuda,0.02551702643941066,0.00010636006604960101,6.913404293224065e-05,0.00016219910072564156,0.00014898386251897862,9.040605614216087e-05,0.00012763207925952123,0.0,5.5839034676040534e-05,71.5075,0.13984547075481593,0.09089955599063036,0.2132643429010943,0.19588854315980844,0.11886865014159355,0.16781456490577912,0.0,0.07341887214627837,94020.25,ATG,14592.176681459825
1,Argentina,0.03568142525935047,0.0018080377419662378,0.00021645944546494196,0.00011010937163827171,0.00015171857135497517,0.00012206186299325613,0.0005679031671766944,6.659492288956581e-06,7.119026085865533e-05,132424.945,0.5919957150067157,0.07087410910383991,0.03605249751094856,0.04967636573305731,0.03996603510010897,0.18594536701525533,0.002180480422325265,0.023309430107748958,43359161.25,ARG,13381.785742018901
2,Australia,0.04439334916801521,0.0006599298983327666,0.0003553332585102638,0.0001361198432445592,0.0001775735861020922,0.00013309125739058208,0.0014837392831772316,7.847263690373701e-06,0.00011125629820967488,73622.08249999999,0.21531922843937487,0.11593668244850315,0.044412625790638295,0.05793798348477851,0.04342447118362891,0.48410838555130525,0.0025603731054469974,0.03630024999632414,24021112.0,AUS,55816.4027893937
3,Austria,0.03676972936757229,0.000723692965836272,0.0003544595098695864,0.0001217338599462741,0.00012638462905976446,0.00018477512311693744,0.0005847424188417175,8.092551370925721e-06,0.0001377749671121304,19459.4175,0.3228385433428313,0.15812395206588276,0.05430532542919129,0.056380027819434984,0.08242795551305686,0.26085287496401166,0.0036100772286734688,0.061461243636917705,8680822.25,AUT,47149.72167831033
4,"Bahamas, The",0.026317251984884327,9.704020721407535e-05,3.190362976901107e-05,0.00015951814884505538,0.00014039591075225435,0.00011299202209858089,0.0002651989224549045,3.32329476760532e-06,5.6496011049290446e-05,326.0575,0.1119434455579154,0.03680332456698589,0.18401662283492942,0.16195763017259224,0.13034510784140835,0.30592763546307017,0.003833679642394363,0.06517255392070417,376132.75,BHS,31389.10026466785
5,Barbados,0.032192516806382195,0.00033269770561155965,3.677185167285659e-05,6.741506140023709e-05,0.00015621908319018578,0.00012082179835367167,0.0005787539245196457,0.0,4.727809500795848e-05,382.6175,0.24828974105993584,0.027442550327677118,0.05031134226740805,0.1165851013087483,0.09016837964808196,0.431919606395421,0.0,0.03528327899272772,285544.5,BRB,16826.434476526003
6,Belarus,0.04837811145955009,0.0009563289359569644,0.0004679178983732583,0.00010399346221445754,0.0001235072506333315,0.0007645152602108448,0.0005819777591489815,1.3697213868165633e-06,7.491322354050588e-05,29180.245000000003,0.3110494788511885,0.15219200524190252,0.03382425336044985,0.04017118430636891,0.248661380327684,0.18929039149602753,0.0004455068831670193,0.024365799533211593,9490981.25,BLR,6262.998190114802
7,Belgium,0.04368658459813294,0.0009766356073942562,0.0004114421046875743,7.010426438176924e-05,0.00011359811840862524,0.0003064627390855815,0.0007032187970245432,5.554346704489923e-06,0.00011690682725027995,30547.455,0.36119211895066217,0.15216488574907466,0.025926873449850403,0.04201233785269509,0.1133400474769502,0.26007354786184317,0.0020541809456794354,0.04323600771324485,11297458.25,BEL,43717.2686397138
8,Botswana,0.03612461763562054,0.00018042074537676214,0.00017284004178950323,2.729053291413209e-05,2.9702362916970772e-05,0.00010298094257768647,6.0295750070967046e-05,1.7493931355212877e-06,4.839987674942229e-05,1336.92,0.28928432516530533,0.27712952158693116,0.043757292882147025,0.0476243903898513,0.1651183316877599,0.09667743769260688,0.0028049546719325015,0.07760374592346587,2143600.5,BWA,7429.406587047057
9,Brazil,0.0346212516098473,0.0007714418055109524,0.00017035251068085912,0.00010448686721494192,0.00012920890713087106,0.00016522241591607553,0.003776738723943637,5.311529400423931e-06,8.022820405234551e-05,1068216.18,0.1482689112610146,0.0327412659111754,0.02008207739373504,0.024833582842753797,0.031755276352395265,0.7258783938284852,0.001020860777450497,0.015419631632990245,205308098.25,BRA,9890.518030005982
